institution,location,country,website,status
University Of Jos,Jos,Nigeria,http://www.unijos.edu.ng,Full Member
University Of Juba,Juba,South Sudan,http://juba.edu.sd,Full Member
University Of Khartoum,Khartoum 11115,Sudan,http://www.uofk.edu/,Full Member
University Of Kordofan,Elobeid,Sudan,http://www.kordofan.edu.sd/,Full Member
University Of Kwazulu-natal,Durban,South Africa,http://www.ukzn.ac.za,Full Member
University Of Lagos,Lagos,Nigeria,http://www.unilag.edu/,Full Member
University Of Liberia,Monrovia,Liberia,https://ul.edu.lr,Full Member
University Of Lusaka,Lusaka,Zambia,https://www.unilus.ac.zm,Full Member
University Of Maiduguri,Maiduguri,Nigeria,http://www.unimaid.edu.ng/,Full Member
University Of Malawi,Zomba,Malawi,http://www.unima.mw/,Full Member
University Of Mauritius,Reduit,Mauritius,http://www.uom.ac.mu,Full Member
"University Of Mines And Technology, Tarkwa",Tarkwa,Ghana,http://umat.edu.gh/,Full Member
University Of Nairobi,Nairobi,Kenya,http://www.uonbi.ac.ke/,Full Member
University Of Namibia,Windhoek,Namibia,http://www.unam.edu.na/,Full Member
"University Of Nigeria, Nsukka",Nsukka,Nigeria,http://www.unn.edu.ng,Full Member
University Of Nyala,Nyala,Sudan,https://nyalau.edu.sd/,Full Member
University Of Port Harcourt,Port Harcourt,Nigeria,http://www.uniport.edu.ng,Full Member
University Of Pretoria,Pretoria,South Africa,http://www.up.ac.za,Full Member
University Of Professional Studies (ups),Accra,Ghana,https://upsa.edu.gh,Full Member
University Of Rwanda,Butare,Rwanda,http://www.nur.ac.rw,Full Member
University Of Sadat City,Sadat City,Egypt,https://www.usc.edu.eg,Full Member
University Of Science And Technology,Omdurman,Sudan,http://www.sustech.edu/,Full Member
University Of Sierra Leone,Freetown,Sierra Leone,http://usl.edu.sl/,Full Member
University Of Somalia,Mogadishu,Somalia,http://www.uniso.edu.so/,Full Member
University Of South Africa,Transvaal 0003,South Africa,http://www.unisa.ac.za,Full Member
University Of Stellenbosch,Matieland 7602,South Africa,http://www.sun.ac.za,Full Member
"University Of Technology, Mauritius",Pointe-aux-sables,Mauritius,http://www.utm.ac.mu/,Full Member
University Of The Free State,Bloemfontein 9300,South Africa,http://www.ufs.ac.za,Full Member
University Of The Gambia,Serrekunda,The Gambia,https://www.utg.edu.gm,Full Member
University Of The Holy Qur'an And Re-origination Of Sciences,Omdurman,Sudan,http://www.quran-unv.edu.sd/,Full Member
University Of The Western Cape,Cape Town,South Africa,https://www.uwc.ac.za,Full Member
University Of Uyo,Uyo,Nigeria,http://www.uniuyo.edu.ng,Full Member
University Of Venda For Science & Technology,Thohoyandou 0950,South Africa,http://www.univen.ac.za,Full Member
University Of Western Kordufan,Khartoum,Sudan,http://www.wku.edu.sd,Full Member
University Of Witwatersrand,Johannesburg,South Africa,http://www.wits.ac.za,Full Member
University Of Zalingei,Zalingei,Sudan,http://zalingei.edu.sd,Full Member
University Of Zambia,Lusaka,Zambia,http://www.unza.zm,Full Member
University Of Zimbabwe,Harare,Zimbabwe,http://www.uz.ac.zw,Full Member
Université Abdou Moumouni,Niamey,Niger,https://www.uam.edu.ne/,Full Member
Université Africaine De Développement Coopératif,Cotonou,Benin,http://www.uadc-aucd.org,Full Member
Université Catholique De Bukavu,Bukavu,Dr Congo,https://ucbukavu.ac.cd,Full Member
Université Catholique Du Congo,Kinshasa,Dr Congo,http://www.ucc.ac.cd,Full Member
"Université Centrale, Tunisia",Tunis,Tunisia,http://www.universitecentrale.net/,Full Member
Université Cheikh Anta Diop De Dakar,Dakar-fann,Sénégal,http://www.ucad.sn,Full Member
Université D'abomey-calavi,Cotonou,Benin,https://uac.bj/,Full Member
Université D'alger,Algiers 16000,Algeria,http://www.univ-alger.dz,Full Member
Université D'antananarivo,Antananarivo 101,Madagascar,http://www.univ-antananarivo.mg/,Full Member
Université D'oran,Oran 31000,Algeria,http://www.univ-oran.dz/,Full Member
Université De Bamako,Bamako,Mali,Not Available,Full Member
Université De Bangui,Bangui,Central Africa Repub,http://www.univ-bangui.org/,Full Member
Université De Douala,Douala,Cameroun,http://www.univ-douala.com/,Full Member
Université De Dschang,Dschang,Cameroun,http://www.univ-dschang.org/,Full Member
Université De Fianarantsoa,Fianarantsoa 301,Madagascar,http://www.univ-fianar.mg,Full Member
Université De Kara,Kara,Togo,https://www.univ-kara.tg,Full Member
Université De Kinshasa,Kinshasa Xi,Dr Congo,https://www.unikin.ac.cd,Full Member
Université De Kisangani,Kisangani,Dr Congo,http://www.unikis.ac.cd,Full Member
Université De Lomé,Lomé,Togo,https://univ-lome.tg,Full Member
Université De Lubumbashi,Lubumbashi,Dr Congo,http://www.unilu.ac.cd/,Full Member
Université De Maroua,Maroua,Cameroun,http://www.uni-maroua.com/,Full Member
Université De N'djamena,N'djamena,Tchad,https://www.universite-ndjamena.td,Full Member
Université De Ngaoundéré,Ngaoundere,Cameroun,http://www.univ-ndere.cm/,Full Member
Université De Nouakchott,Nouakchott,Mauritania,http://www.univ-nkc.mr,Full Member
Université De Parakou,Parakou,Benin,http://www.univ-parakou.bj/,Full Member
Université De Toamasina,Toamasina 501,Madagascar,http://www.univ-toamasina.mg,Full Member
Université De Yaoundé 1,Yaoundé,Cameroun,http://www.uy1.uninet.cm/,Full Member
Université De Zinder,Zinder,Niger,Not Available,Full Member
Université Des Sciences & Techniques De Masuku,Franceville,Gabon,http://univ-masuku.org,Full Member
Université Des Sciences Et De La Technologie D'oran,Oran 31000,Algeria,http://www.univ-usto.dz,Full Member
Université Des Sciences Islamiques,Constantine 25000,Algeria,http://www.univ-emir.dz/,Full Member
Université Du 7 Novembre A Carthage,1002 Tunis,Tunisia,http://www.universites.tn,Full Member
Université Du Burundi,Bujumbura,Burundi,http://www.ub.edu.bi,Full Member
Université Félix Houphouët-boigny,Abidjan 01,Côte D'ivoire,https://www.univ-fhb.edu.ci,Full Member
Université Gaston Berger De Saint-louis,Saint-louis,Sénégal,http://www.ugb.sn,Full Member
Université Joseph Ki-zerbo,Ouagadougou 03,Burkina Faso,https://www.univ-ouaga1.gov.bf,Full Member
Université Kasdi Merbah Ouargla,Ouargla,Algeria,http://www.univ-ouargla.dz/,Full Member
Université Larbi Ben M’hidi De Oum El Bouaghi,Oum El Bouaghi، Oum El Bouaghi ‎,Algeria,http://www.univ-oeb.dz/,Full Member
Université Marien Ngouabi,Brazzaville,Congo,https://www.umng.cg,Full Member
Université Mentouiri De Constantine,Constantine,Algeria,http://www.cerist.dz,Full Member
Université Mohammed I,Oujda,Morocco,http://www.ump.ma/,Full Member
Université Mohammed V Souissi,Rabat,Morocco,http://www.um5.ac.ma/um5,Full Member
"Université Mohammed V, Agdal",Agdal Rabat-chellah,Morocco,http://www.um5a.ac.ma,Full Member
Université Nangui Abrogoua,Abidjan 02,Côte D'ivoire,https://www.univ-na.ci,Full Member
Université Nazi Boni,Bobo-dioulasso,Burkina Faso,https://www.univ-bobo.gov.bf/,Full Member
Université Nord Madagascar,Antsiranana 201,Madagascar,Not Available,Full Member
Université Omar Bongo,Libreville,Gabon,Not Available,Full Member
Université Pelefero Gon Coulibaly,Korhogo,Côte D'ivoire,https://univ-pgc.edu.ci,Full Member
Université Polytechnique De Bobo-dioulasso,Bobo-dioulasso 01,Burkina Faso,http://www.univ-bobo.bf/,Full Member
Université Quaraouyine Fes,Fes,Morocco,http://uaq.ma,Full Member
Universit� Loyola Du Congo,Kinshasa,Democratic Republic The Congo,https://loyola.cd,Associate Membership
Upper Nile University,Khartoum,South Sudan,Not Available,Full Member
Usmanu Dan Fodiyo University,Sokoto,Nigeria,http://www.udusok.edu.ng,Full Member
Valley View University,Oyibi (accra),Ghana,https://vvu.edu.gh,Full Member
Wad Medani Ahlia College,Wad Medani,Sudan,www.wadmedani-ahlia.edu.sd,Full Member
Walter Sisulu University,Mthatha,South Africa,https://www.wsu.ac.za,Full Member
"Wisconsin International University College, Ghana",Accra,Ghana,https://wiuc-ghana.edu.gh,Full Member
Wollega University,Nekemte,Ethiopia,https://www.wollegalibrary.com,Full Member
Women’s University In Africa,Harare,Zimbabwe,http://www.wua.ac.zw,Associate Member
Yaba College Of Technology,"Agege, Lagos",Nigeria,https://www.yabatech.edu.ng,Associate Member
Zagazig University,Zagazig,Egypt,http://english.zu.edu.eg/,Full Member
Zambeze University,Beira,Mozambique,https://www.gfar.net,Full Member
Zambia Forestry College,Kitwe,Zambia,https://www.mlnr.gov.zm,Associate Member
Zambian Open University,Lusaka,Zambia,https://zaou.ac.zm,Full Member
Zamzam University Of Science & Technology,Mogadishu,Somalia,http://zust.edu.so,Full Member
Zanzibar University,Zanzibar,Tanzania,http://zanvarsity.ac.tz,Full Member
Zawia University,Zawia,Libya,https://zu.edu.ly,Full Member
Zenith University College,Accra,Ghana,https://zucghana.org,Full Member
Zimbabwe Council For Higher Education,Harare,Zimbabwe,http://www.zimche.ac.zw,Associate Member
Zimbabwe Open University,Harare,Zimbabwe,http://www.zou.ac.zw,Full Member
école Nationale Supérieure De Statistique Et D'économie Appliquée,Abidjan`,CÔte D'ivoire,http://www.ensea.ed.ci modifier - modifier le code,Full Member
