,institution,location,website,point,latitude,longitude,altitude,geometry
61,Cheyney University of Pennsylvania,"Cheyney, Thornbury Township, PA, USA",,"(39.933506, -75.5254286, 0.0)",39.933506,-75.5254286,0,POINT (-75.5254286 39.933506)
62,Lincoln University (PA),"Lincoln University, PA 19352, USA",,"(39.8086987, -75.9270918, 0.0)",39.8086987,-75.9270918,0,POINT (-75.9270918 39.8086987)
63,Brown University,"Providence, RI 02912, USA",,"(41.8267718, -71.4025482, 0.0)",41.8267718,-71.4025482,0,POINT (-71.4025482 41.8267718)
64,Allen University,,,"(34.0107328,-81.0228275,0.0)",34.0107328,-81.0228275,0,POINT (-81.0228275 34.0107328)
65,Benedict College,"1600 Harden St, Columbia, SC 29204, USA",,"(34.01302, -81.0195629, 0.0)",34.01302,-81.0195629,0,POINT (-81.0195629 34.01302)
66,Claflin University,"400 Magnolia St, Orangeburg, SC 29115, USA",,"(33.4990214, -80.85421099999999, 0.0)",33.4990214,-80.854211,0,POINT (-80.85421099999999 33.4990214)
67,Clinton College,"1029 Crawford Rd, Rock Hill, SC 29730, USA",,"(34.9134144, -81.0429245, 0.0)",34.9134144,-81.0429245,0,POINT (-81.0429245 34.9134144)
68,Denmark Technical College,"1126 Solomon, 1126 Soloman Blatt Blvd, Denmark, SC 29042, USA",,"(33.3120439, -81.1237061, 0.0)",33.3120439,-81.1237061,0,POINT (-81.1237061 33.3120439)
69,Morris College,"100 W College St, Sumter, SC 29150, USA",,"(33.938031, -80.347003, 0.0)",33.938031,-80.347003,0,POINT (-80.347003 33.938031)
70,South Carolina State University,"300 College Ave, Orangeburg, SC 29117, USA",,"(33.4981687, -80.8492832, 0.0)",33.4981687,-80.8492832,0,POINT (-80.8492832 33.4981687)
71,Voorhees College,"481 Porter Dr, Denmark, SC 29042, USA",,"(33.309091, -81.12593179999999, 0.0)",33.309091,-81.1259318,0,POINT (-81.12593179999999 33.309091)
72,American Baptist College,"1800 Baptist World Center Dr, Nashville, TN 37207, USA",,"(36.20237729999999, -86.7899551, 0.0)",36.2023773,-86.7899551,0,POINT (-86.7899551 36.20237729999999)
73,Fisk University,"1000 17th Ave N, Nashville, TN 37208, USA",,"(36.167332, -86.8035531, 0.0)",36.167332,-86.8035531,0,POINT (-86.8035531 36.167332)
74,Lane College,"545 Lane Ave, Jackson, TN 38301, USA",,"(35.62805, -88.80635269999999, 0.0)",35.62805,-88.8063527,0,POINT (-88.80635269999999 35.62805)
75,LeMoyne-Owen College,"807 Walker Ave, Memphis, TN 38126, USA",,"(35.1180658, -90.0344494, 0.0)",35.1180658,-90.0344494,0,POINT (-90.0344494 35.1180658)
76,Meharry Medical College,"1005 Dr DB Todd Jr Blvd, Nashville, TN 37208, USA",,"(36.1675072, -86.80638309999999, 0.0)",36.1675072,-86.8063831,0,POINT (-86.80638309999999 36.1675072)
77,Tennessee State University,"3500 John A Merritt Blvd, Nashville, TN 37209, USA",,"(36.1683703, -86.8258566, 0.0)",36.1683703,-86.8258566,0,POINT (-86.8258566 36.1683703)
78,Huston-Tillotson University,"900 Chicon St, Austin, TX 78702, USA",,"(30.2645512, -97.7223212, 0.0)",30.2645512,-97.7223212,0,POINT (-97.7223212 30.2645512)
79,Jarvis Christian University,"80 Pr 7631, Hawkins, TX 75765, USA",,"(32.5891917, -95.1797935, 0.0)",32.5891917,-95.1797935,0,POINT (-95.1797935 32.5891917)
80,Prairie View A&M University,"100 University Dr, Prairie View, TX 77446, USA",,"(30.0954974, -95.9907076, 0.0)",30.0954974,-95.9907076,0,POINT (-95.9907076 30.0954974)
81,St. Philip's College,"1801 Martin Luther King Dr, San Antonio, TX 78203, USA",,"(29.4159911, -98.453515, 0.0)",29.4159911,-98.453515,0,POINT (-98.453515 29.4159911)
82,Texas College,"2404 N Grand Ave, Tyler, TX 75702, USA",,"(32.3746475, -95.3121286, 0.0)",32.3746475,-95.3121286,0,POINT (-95.3121286 32.3746475)
83,Texas Southern University,"3100 Cleburne St, Houston, TX 77004, USA",,"(29.7214214, -95.35926909999999, 0.0)",29.7214214,-95.3592691,0,POINT (-95.35926909999999 29.7214214)
84,Wiley College,"711 Wiley Ave, Marshall, TX 75670, USA",,"(32.5384595, -94.3752124, 0.0)",32.5384595,-94.3752124,0,POINT (-94.3752124 32.5384595)
85,University of the Virgin Islands,"St Thomas, Charlotte Amalie West, St Thomas 00802, USVI",,"(18.3432344, -64.9728797, 0.0)",18.3432344,-64.9728797,0,POINT (-64.9728797 18.3432344)
86,Hampton University,"100 E Queen St, Hampton, VA 23669, USA",,"(37.0228392, -76.3343603, 0.0)",37.0228392,-76.3343603,0,POINT (-76.3343603 37.0228392)
87,Norfolk State University,"700 Park Ave, Norfolk, VA 23504, USA",,"(36.8479292, -76.2620987, 0.0)",36.8479292,-76.2620987,0,POINT (-76.2620987 36.8479292)
88,Virginia State University,"1 Hayden St, Petersburg, VA 23806, USA",,"(37.2384006, -77.4198184, 0.0)",37.2384006,-77.4198184,0,POINT (-77.4198184 37.2384006)
89,Virginia Union University,"1500 N Lombardy St, Richmond, VA 23220, USA",,"(37.5626214, -77.4513784, 0.0)",37.5626214,-77.4513784,0,POINT (-77.4513784 37.5626214)
90,Bluefield State University,"219 Rock St, Bluefield, WV 24701, USA",,"(37.2645492, -81.2407073, 0.0)",37.2645492,-81.2407073,0,POINT (-81.2407073 37.2645492)
91,West Virginia State University,"Institute, WV 25112, USA",,"(38.3789586, -81.7665882, 0.0)",38.3789586,-81.7665882,0,POINT (-81.7665882 38.3789586)
