,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
159,Koforidua Technical University,"3P8P+F5F, Koforidua-Nsutam Rd, Koforidua, Ghana",Ghana,https://www.ktu.edu.gh,Full Member,"(6.064566399999999, -0.2628136, 0.0)",6.0645664,-0.2628136,0,POINT (-0.2628136 6.064566399999999)
160,Kogi State University,"University, 272102, Anyigba, Kogi, Nigeria",Nigeria,http://www.ksu.edu.ng/,Full Member,"(7.4858718, 7.1874049, 0.0)",7.4858718,7.1874049,0,POINT (7.1874049 7.4858718)
161,Kumasi Technical University,"Ejisu, Ghana",Ghana,https://kstu.edu.gh/,Full Member,"(6.7201059, -1.4823409, 0.0)",6.7201059,-1.4823409,0,POINT (-1.4823409 6.7201059)
162,Kwame Nkrumah University Of Science And Technology,"Accra Rd, Kumasi, Ghana",Ghana,http://www.knust.edu.gh,Full Member,"(6.674503499999999, -1.5716114, 0.0)",6.6745035,-1.5716114,0,POINT (-1.5716114 6.674503499999999)
163,Kwara State University,"Kwara State University Rd, 241103, Malete, Kwara, Nigeria",Nigeria,https://www.kwasu.edu.ng/,Full Member,"(8.7099782, 4.4665529, 0.0)",8.7099782,4.4665529,0,POINT (4.4665529 8.7099782)
164,"Kwararafa University, Wukari","VQGH+WJR, 670101, Wukari, Taraba, Nigeria",Nigeria,https://kwararafauniversity.org,Associate Member,"(7.877352500000001, 9.7790188, 0.0)",7.8773525,9.7790188,0,POINT (9.7790188 7.877352500000001)
165,Ladoke Akintola University Of Technology,"Old, Oyo/ Ilorin Rd, 210214, Ogbomosho, Oyo, Nigeria",Nigeria,http://www.lautech.edu.ng,Full Member,"(8.170033499999999, 4.2636277, 0.0)",8.1700335,4.2636277,0,POINT (4.2636277 8.170033499999999)
166,Landmark University,"43FP+3V8, Road, 251103, Omu-Aran, Kwara, Nigeria",Nigeria,http://landmarkuniversity.edu.ng/,Associate Member,"(8.1226263, 5.082785599999999, 0.0)",8.1226263,5.0827856,0,POINT (5.082785599999999 8.1226263)
167,Lilongwe University Of Agriculture & Natural Resources (luanar),"Lilongwe, Malawi",Malawi,http://www.bunda.luanar.mw/,Full Member,"(-13.9626121, 33.7741195, 0.0)",-13.9626121,33.7741195,0,POINT (33.7741195 -13.9626121)
168,Lincoln University College,"Jalan Lembah Sireh, 15050 Kota Bharu, Kelantan, Malaysia",Malaysia,http://www.lincoln.edu.my,Associate Member,"(6.1136946, 102.232872, 0.0)",6.1136946,102.232872,0,POINT (102.232872 6.1136946)
169,Lupane State University,"Third Ave Herbert Chitepo St, Bulawayo, Zimbabwe",Zimbabwe,http://www.lsu.ac.zw/,Full Member,"(-20.146526, 28.5819491, 0.0)",-20.146526,28.5819491,0,POINT (28.5819491 -20.146526)
170,Lusaka Apex University,"Off Mumbwa Road, Lusaka 10101, Zambia",Zambia,http://lamu.edu.zm/,Full Member,"(-15.4765283, 28.3309403, 0.0)",-15.4765283,28.3309403,0,POINT (28.3309403 -15.4765283)
171,Maflekumen Higher Institute Of Health Sciences,"Plot 118 Holfort new layout Longstreet, Tiko, Cameroon",Cameroun,https://maflekumen-institute.org/,Full Member,"(4.0739224, 9.361970999999999, 0.0)",4.0739224,9.361971,0,POINT (9.361970999999999 4.0739224)
172,Mahatma Gandhi University,"Priyadarsini Hills Post, Administrative Block, University Campus Rd, Athirampuzha, Kerala 686560, India",Rwanda,http://www.mgu.ac.rw/,Associate Member,"(9.659870699999999, 76.5309339, 0.0)",9.6598707,76.5309339,0,POINT (76.5309339 9.659870699999999)
173,Makerere University,"7062 University Rd, Kampala, Uganda",Uganda,http://www.mak.ac.ug,Full Member,"(0.3326347, 32.5685861, 0.0)",0.3326347,32.5685861,0,POINT (32.5685861 0.3326347)
174,Malawi University Of Science And Technology,"Mikolongwe, Malawi",Malawi,https://www.must.ac.mw,Full Member,"(-15.9019872, 35.2168465, 0.0)",-15.9019872,35.2168465,0,POINT (35.2168465 -15.9019872)
