,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
245,Rusangu University,"Monze, Zambia",Zambia,http://ru.edu.zm/,Full Member,"(-16.380788, 27.5243487, 0.0)",-16.380788,27.5243487,0,POINT (27.5243487 -16.380788)
246,Sebha University,"2CMM+XPM, Sabhā, Libya",Libya,http://www.sebhau.edu.ly,Full Member,"(27.0349548, 14.4342841, 0.0)",27.0349548,14.4342841,0,POINT (14.4342841 27.0349548)
247,Sefako Makgatho Health Sciences University,"Molotlegi St, Ga-Rankuwa Zone 1, Ga-Rankuwa, 0208, South Africa",South Africa,https://purerims.smu.ac.za,Full Member,"(-25.6191508, 28.0160807, 0.0)",-25.6191508,28.0160807,0,POINT (28.0160807 -25.6191508)
248,Simad University,"Jidka Warshadaha 2526, 389H+29G, Muqdisho, Somalia",Somalia,https://simad.edu.so/,Associate Member,"(2.0662287, 45.32649199999999, 0.0)",2.0662287,45.326492,0,POINT (45.32649199999999 2.0662287)
249,Sokoine University Of Agriculture,"Kididimo, Morogoro, Tanzania",Tanzania,http://www.suanet.ac.tz/,Full Member,"(-6.8520287, 37.6575913, 0.0)",-6.8520287,37.6575913,0,POINT (37.6575913 -6.8520287)
250,Solusi University,"solusi university po solusi bulawayo, Zimbabwe",Zimbabwe,https://www.solusi.ac.zw/,Full Member,"(-20.1986274, 28.1529537, 0.0)",-20.1986274,28.1529537,0,POINT (28.1529537 -20.1986274)
251,Somali International University,"28P6+759, Jidka Tarabuunka, Mogadishu, Somalia",Somalia,https://siu.edu.so,Full Member,"(2.0356713, 45.3104763, 0.0)",2.0356713,45.3104763,0,POINT (45.3104763 2.0356713)
252,South Eastern Kenya University,"Kitui County, Kenya",Kenya,https://www.seku.ac.ke,Associate Member,"(-1.3099491, 37.7558212, 0.0)",-1.3099491,37.7558212,0,POINT (37.7558212 -1.3099491)
253,South Valley University,"الكيلو 6 Qena - Safaga Rd, Qena Governorate, Egypt",Egypt,https://www.svu.edu.eg,Full Member,"(26.1920826, 32.7452739, 0.0)",26.1920826,32.7452739,0,POINT (32.7452739 26.1920826)
254,Southern African Nazarene University,"Nkoseluhlaza Street, G927+HRG, Second Avenue, Next to Raleigh Fitkin Memorial hospital, Manzini M100, Eswatini",Eswatini,https://www.sanu.ac.sz/,Full Member,"(-26.4985562, 31.36458, 0.0)",-26.4985562,31.36458,0,POINT (31.36458 -26.4985562)
255,St Augustine University,"1315 Oakwood Ave, Raleigh, NC 27610, USA",Tanzania,http://www.saut.ac.tz,Full Member,"(35.7876962, -78.6188766, 0.0)",35.7876962,-78.6188766,0,POINT (-78.6188766 35.7876962)
256,St. Mary’s University,"1 Camino Santa Maria, San Antonio, TX 78228, USA",Ethiopia,https://www.smuc.edu.et,Full Member,"(29.4522978, -98.5646836, 0.0)",29.4522978,-98.5646836,0,POINT (-98.5646836 29.4522978)
257,Stella Maris Polytechnic University,"76W4+V7V, Monrovia, Liberia",Liberia,http://smp.edu.lr,Full Member,"(6.2972389, -10.7943162, 0.0)",6.2972389,-10.7943162,0,POINT (-10.7943162 6.2972389)
258,Strathmore University,"Karen Ole Sangale Rd, off Langata Road, in Madaraka Estate, Nairobi, Kenya",Kenya,https://www.strathmore.edu,Full Member,"(-1.3093299, 36.8125213, 0.0)",-1.3093299,36.8125213,0,POINT (36.8125213 -1.3093299)
259,Sudan Academy Of Sciences,Sudan,Sudan,http://www.sas.edu.sd/,Full Member,"(12.862807, 30.217636, 0.0)",12.862807,30.217636,0,POINT (30.217636 12.862807)
260,Sudan International University,"GJ32+W3F, Khartoum, Sudan",Sudan,http://www.siu-sd.com,Full Member,"(15.504802, 32.6001623, 0.0)",15.504802,32.6001623,0,POINT (32.6001623 15.504802)
261,Sudan University Of Science And Technology,"HGX7+M5F, Khartoum, Sudan",Sudan,http://www.sustech.edu/,Full Member,"(15.5991991, 32.5129214, 0.0)",15.5991991,32.5129214,0,POINT (32.5129214 15.5991991)
262,Suez Canal University,"Ismailia, El Sheikh Zayed, EL SALAM DISTRICT، Ismailia Governorate 8366004, Egypt",Egypt,http://scuegypt.edu.eg/en/,Full Member,"(30.6229541, 32.2690689, 0.0)",30.6229541,32.2690689,0,POINT (32.2690689 30.6229541)
263,Sule Lamido University,"7F4G42X2+RX, Kafin Hausa, 731102, Jigawa, Nigeria",Nigeria,https://slu.edu.ng,Full Member,"(12.1495625, 10.0024375, 0.0)",12.1495625,10.0024375,0,POINT (10.0024375 12.1495625)
264,Supershine University,"H62R+M9G, Lusaka, Zambia",Zambia,http://www.supershineuniversity.net/,Associate Member,"(-15.4483181, 28.2409495, 0.0)",-15.4483181,28.2409495,0,POINT (28.2409495 -15.4483181)
265,Takoradi Technical University,"Ama Akroma Rd, Takoradi, Ghana",Ghana,https://ttu.edu.gh/,Full Member,"(4.909114799999999, -1.7564459, 0.0)",4.9091148,-1.7564459,0,POINT (-1.7564459 4.909114799999999)
266,Tamale Technical University,,Ghana,https://tatu.edu.gh/,Full Member,"(9.4302015,-0.8694798,0.0)",9.4302015,-0.8694798,0,POINT (-0.8694798 9.4302015)
267,Tanta University,"مبنى اللغات الاجنبية، شارع معاوية، طنطا (قسم 2)، طنطا, طنطا (قسم 2)، قسم ثان طنطا، الغربية 6632505, Egypt",Egypt,https://www.tanta.edu.eg/,Full Member,"(30.7985967, 31.0017982, 0.0)",30.7985967,31.0017982,0,POINT (31.0017982 30.7985967)
268,Texila American University,"Lot 24-42, Plantation, Providence, East Bank Demerara, Georgetown, Guyana",Zambia,https://zm.tauedu.org,Associate Member,"(6.759184599999999, -58.1736708, 0.0)",6.7591846,-58.1736708,0,POINT (-58.1736708 6.759184599999999)
269,The American University In Cairo,"Admin building AUC قسم أول القاهرة الجديدة، محافظة القاهرة‬ 4728120،، New Cairo 1, Cairo Governorate 4728120, Egypt",Egypt,https://www.aucegypt.edu,Full Member,"(30.0201508, 31.49908139999999, 0.0)",30.0201508,31.4990814,0,POINT (31.49908139999999 30.0201508)
270,The British University In Egypt,"Suez Desert Road El Sherouk City، El Shorouk, Cairo Governorate 11837, Egypt",Egypt,https://www.bue.edu.eg/,Full Member,"(30.11777529999999, 31.605976, 0.0)",30.1177753,31.605976,0,POINT (31.605976 30.11777529999999)
271,The Catholic University Of Eastern Africa,"Catholic University of Eastern Africa, Bogani E Rd, Nairobi, Kenya",Kenya,https://www.cuea.edu,Full Member,"(-1.3512508, 36.7571435, 0.0)",-1.3512508,36.7571435,0,POINT (36.7571435 -1.3512508)
272,The Egyptian E-learning University,"26Q8+3PW, 33 Al Mesaha, Ad Doqi, Dokki, Giza Governorate 12611, Egypt",Egypt,http://www.eelu.edu.eg,Full Member,"(30.0377079, 31.2168788, 0.0)",30.0377079,31.2168788,0,POINT (31.2168788 30.0377079)
273,The Future University,"Tower, F-542, Prime 8A, Industrial Area, Sector 75, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Sudan,http://fu.edu.sd,Associate Member,"(30.6972733, 76.6901879, 0.0)",30.6972733,76.6901879,0,POINT (76.6901879 30.6972733)
274,The Nelson Mandela African Institution Of Science And Technology Nm-ast,"New Mexico, USA",Tanzania, https://www.nm-aist.ac.tz,Full Member,"(34.9727305, -105.0323635, 0.0)",34.9727305,-105.0323635,0,POINT (-105.0323635 34.9727305)
275,The Open University Of Tanzania,"Dar es Salaam, Tanzania",Tanzania,http://www.out.ac.tz/,Full Member,"(-6.7834881, 39.2646726, 0.0)",-6.7834881,39.2646726,0,POINT (39.2646726 -6.7834881)
276,Tumaini University Makumira (tuma),"Makumira, Tanzania",Tanzania,https://makumira.ac.tz,Full Member,"(-3.371788, 36.8289451, 0.0)",-3.371788,36.8289451,0,POINT (36.8289451 -3.371788)
277,Uganda Christian University,"Plot 67-173, Bishop Tucker Road, Mukono, Uganda",Uganda,http://www.ucu.ac.ug,Full Member,"(0.3552770000000001, 32.7392386, 0.0)",0.355277,32.7392386,0,POINT (32.7392386 0.3552770000000001)
278,Uganda Management Institute,"P.O.Box 20131 K.A.R. Road, Kampala, Uganda",Uganda,http://www.umi.ac.ug/,Full Member,"(0.3209968, 32.5977149, 0.0)",0.3209968,32.5977149,0,POINT (32.5977149 0.3209968)
279,Uganda Martyrs University,"Latitude:0.003611; Longitude:32.014444, Nkozi, Uganda",Uganda,http://www.umu.ac.ug,Full Member,"(0.0, 32.0, 0.0)",0,32,0,POINT (32 0)
280,Uganda Technology And Management University,"Plot 6, Erisa Road, Kampala, Uganda",Uganda,https://utamu.ac.ug,Full Member,"(0.3217631, 32.621356, 0.0)",0.3217631,32.621356,0,POINT (32.621356 0.3217631)
281,Umaru Musa Yar'adua University,"VHXR+MHM, 820102, Batagarawa, Katsina, Nigeria",Nigeria,https://umyu.edu.ng,Full Member,"(12.892365, 7.5855215, 0.0)",12.892365,7.5855215,0,POINT (7.5855215 12.892365)
282,Umma University,"Purko Nairobi Namanga hwy Kajiado, Kenya",Kenya,http://www.umma.ac.ke,Associate Member,"(-1.778272, 36.822642, 0.0)",-1.778272,36.822642,0,POINT (36.822642 -1.778272)
283,"Unicaf University , Malawi","Unit 1 Shoppers Mall (Opposite Game & Shoprite), Area 4, Plot 67, Lilongwe, Malawi",Malawi,https://unicafuniversity.com/,Full Member,"(-13.9838847, 33.76968859999999, 0.0)",-13.9838847,33.7696886,0,POINT (33.76968859999999 -13.9838847)
284,"Unicaf University, Zambia","Plot 20842, Off Alick Nkhata Road (Opposite United Nations HQ) Longacres, Lusaka, Zambia",Zambia,https://unicafuniversity.ac.zm/,Full Member,"(-15.4132086, 28.3206967, 0.0)",-15.4132086,28.3206967,0,POINT (28.3206967 -15.4132086)
285,Uniersity Of Sinnar,"GJX4+XM5, Sennar, Sudan",Sudan,http://uofs.edu.sd,Full Member,"(13.5498828, 33.6067352, 0.0)",13.5498828,33.6067352,0,POINT (33.6067352 13.5498828)
286,United Methodist University,"859V+2X4, Ashmun St, Monrovia, Liberia",Liberia,https://umu.edu.lr,Full Member,"(6.317446299999999, -10.8048107, 0.0)",6.3174463,-10.8048107,0,POINT (-10.8048107 6.317446299999999)
287,Universidade Agostinho Neto,"374J+R8F, Sapu, Angola",Angola,http://www.uan.ao/,Full Member,"(-8.9429476, 13.2808108, 0.0)",-8.9429476,13.2808108,0,POINT (13.2808108 -8.9429476)
288,Universidade Catolica De Mozambique (ucm),Mozambique,Mozambique,http://www.ucm.ac.mz,Full Member,"(-18.665695, 35.529562, 0.0)",-18.665695,35.529562,0,POINT (35.529562 -18.665695)
289,Universidade Eduardo Mondlane,"3453 Avenida Julius Nyerere, Maputo, Mozambique",Mozambique,http://www.uem.mz/index.php,Full Member,"(-25.9521498, 32.6035601, 0.0)",-25.9521498,32.6035601,0,POINT (32.6035601 -25.9521498)
290,Universidade Jean Piaget De Cabo Verde,"Campus UniPiaget, Praia, Cabo Verde",Cape Verde,http://www.unipiaget.cv/,Associate Member,"(14.9211503, -23.5380355, 0.0)",14.9211503,-23.5380355,0,POINT (-23.5380355 14.9211503)
291,Universidade Joaquim Chissano,"5V4P+V9Q, Ponta do Ouro, Mozambique",Mozambique,https://ujc.ac.mz/,Full Member,"(-26.842777, 32.8859987, 0.0)",-26.842777,32.8859987,0,POINT (32.8859987 -26.842777)
292,Universidade Pedagogica,"2HGP+G2X, Rua Comandante Augusto Cardoso, Maputo, Mozambique",Mozambique,https://www.up.ac.mz,Full Member,"(-25.973631, 32.5851213, 0.0)",-25.973631,32.5851213,0,POINT (32.5851213 -25.973631)
293,Universidade óscar Ribas,"Rua Direita do Centro de Convenções Talatona, 35HM+75W, Luanda, Angola",Angola,https://uor.ed.ao/,Full Member,"(-8.9218823, 13.182865, 0.0)",-8.9218823,13.182865,0,POINT (13.182865 -8.9218823)
294,Universite Aube Nouvelle,"Université aube nouvelle, 1200 Logements, Ouagadougou, Burkina Faso",Burkina Faso,http://u-auben.com,Associate Member,"(12.3603063, -1.4983828, 0.0)",12.3603063,-1.4983828,0,POINT (-1.4983828 12.3603063)
295,Universite Badji Mokhtar D'annaba,"17 hassen chaouche, Annaba 23000, Algeria",Algeria,http://www.univ-annaba.org,Full Member,"(36.8691587, 7.717800899999999, 0.0)",36.8691587,7.7178009,0,POINT (7.717800899999999 36.8691587)
296,Universite Des Sciences Et De La Technologie Houari Boumediene (usthb),"Bab Ezzouar 16111, Algeria",Algeria,https://fei.usthb.dz,Full Member,"(36.7114456, 3.1833167, 0.0)",36.7114456,3.1833167,0,POINT (3.1833167 36.7114456)
297,Universite Simon Kimbangu,"M828+VJ5, Ave Bongolo, Kinshasa, Democratic Republic of the Congo",Dr Congo,Not Available,Full Member,"(-4.347854, 15.31662, 0.0)",-4.347854,15.31662,0,POINT (15.31662 -4.347854)
298,Universite Tertiaire Et Technologique Lokko,,Cote D’ivoire,http://mrs4.hosteur.com/~group546/,Full Member,"(5.2874046,-3.9742898,0.0)",5.2874046,-3.9742898,0,POINT (-3.9742898 5.2874046)
299,University For Development Studies,"Unnamed Road, Tamale, Ghana",Ghana,http://www.uds.edu.gh,Full Member,"(9.3722604, -0.8852348999999999, 0.0)",9.3722604,-0.8852349,0,POINT (-0.8852348999999999 9.3722604)
300,University Of Abuja,"Mohammed Maccido Road, Airport Rd, 900102, Abuja, Federal Capital Territory, Nigeria",Nigeria,http://uniabuja.edu.ng/,Full Member,"(8.9806983, 7.1804956, 0.0)",8.9806983,7.1804956,0,POINT (7.1804956 8.9806983)
301,"University Of Agriculture, Makurdi","University Of Agriculture Road Makurdi Benue North Bank, Makurdi 970101, Makurdi, Benue, Nigeria",Nigeria,https://uam.edu.ng,Full Member,"(7.7321865, 8.5391474, 0.0)",7.7321865,8.5391474,0,POINT (8.5391474 7.7321865)
302,University Of Aljabel El Garbi,,Libya,Not Available,Full Member,"(32.1684926,12.976803,0.0)",32.1684926,12.976803,0,POINT (12.976803 32.1684926)
303,University Of Asmara,"Asmara College of Health Sciences, Mai Bela Ave, Asmara, Eritrea",Eritrea,http://www.uoa.edu.er/,Full Member,"(15.3425304, 38.9289887, 0.0)",15.3425304,38.9289887,0,POINT (38.9289887 15.3425304)
304,University Of Bahr El Ghazal,"MXRV+QQG, Wau, South Sudan",South Sudan,https://ubg.university,Full Member,"(7.6919277, 27.9944542, 0.0)",7.6919277,27.9944542,0,POINT (27.9944542 7.6919277)
305,University Of Bahri,"السودان) الخرطوم بحري-الكدرو جنوب، QH3W+24W, Alkadroo, Sudan",Sudan,https://bahri.edu.sd,Full Member,"(15.7526018, 32.5953208, 0.0)",15.7526018,32.5953208,0,POINT (32.5953208 15.7526018)
306,University Of Bakht Er Ruda,,Sudan,http://www.bakhtalruda.edu,Full Member,"(14.0115358,32.3023696,0.0)",14.0115358,32.3023696,0,POINT (32.3023696 14.0115358)
307,University Of Bamenda,"Street one, Bamenda, Cameroon",Cameroun,http://uniba.cm,Full Member,"(5.929973299999999, 10.1699831, 0.0)",5.9299733,10.1699831,0,POINT (10.1699831 5.929973299999999)
308,University Of Benin,"P.M.B, 1154, Main Gate, Benin -Ore Rd, Uselu 300103, Benin City, Edo, Nigeria",Nigeria,http://www.uniben.edu,Full Member,"(6.3998208, 5.6098639, 0.0)",6.3998208,5.6098639,0,POINT (5.6098639 6.3998208)
309,University Of Botswana,"School Of Medicine, Plot 4775 Notwane Rd, Gaborone, Botswana",Botswana,http://www.ub.bw,Full Member,"(-24.6605376, 25.9309113, 0.0)",-24.6605376,25.9309113,0,POINT (25.9309113 -24.6605376)
310,University Of Buea,"molyko to Buea town Rd, Buea, Cameroon",Cameroun,https://www.ubuea.cm,Full Member,"(4.148890199999999, 9.2878516, 0.0)",4.1488902,9.2878516,0,POINT (9.2878516 4.148890199999999)
311,University Of Calabar,"Calabar, Cross River, Nigeria",Nigeria,http://www.unical.edu.ng/,Full Member,"(4.9757165, 8.3417006, 0.0)",4.9757165,8.3417006,0,POINT (8.3417006 4.9757165)
312,University Of Cape Coast,"New Administration Block, Cape Coast, Ghana",Ghana,http://www.ucc.edu.gh,Full Member,"(5.1154645, -1.2908544, 0.0)",5.1154645,-1.2908544,0,POINT (-1.2908544 5.1154645)
313,University Of Cape Town,"Rondebosch, Cape Town, 7700, South Africa",South Africa,http://www.uct.ac.za,Full Member,"(-33.957652, 18.4611991, 0.0)",-33.957652,18.4611991,0,POINT (18.4611991 -33.957652)
314,University Of Dalanj,"3M67+85G, Dilling, Sudan",Sudan,http://www.dalanjuniversity.edu.sd,Full Member,"(12.0608199, 29.6629541, 0.0)",12.0608199,29.6629541,0,POINT (29.6629541 12.0608199)
315,University Of Dar Es Salaam,"Dar es Salaam, Tanzania",Tanzania,http://www.udsm.ac.tz,Full Member,"(-6.8165054, 39.2894367, 0.0)",-6.8165054,39.2894367,0,POINT (39.2894367 -6.8165054)
316,University Of Dodoma,"Kikuyu Avenue, Dodoma, Tanzania",Tanzania,https://www.udom.ac.tz,Full Member,"(-6.2042256, 35.7977164, 0.0)",-6.2042256,35.7977164,0,POINT (35.7977164 -6.2042256)
317,"University Of Education, Winneba","1277 I.P.T Rd, Kumasi, Ghana",Ghana,http://www.uew.edu.gh,Full Member,"(6.6970452, -1.6811416, 0.0)",6.6970452,-1.6811416,0,POINT (-1.6811416 6.6970452)
318,University Of Eldoret,"Lembus elgeyo road University of Eldoret premises, Eldama Ravine, Kenya",Kenya, http://uoeld.ac.ke,Full Member,"(0.5207609, 35.2762321, 0.0)",0.5207609,35.2762321,0,POINT (35.2762321 0.5207609)
319,University Of Energy And Natural Resources,"Post Office Box 214, Sunyani, Ghana",Ghana,https://uenr.edu.gh,Full Member,"(7.349228399999999, -2.343367, 0.0)",7.3492284,-2.343367,0,POINT (-2.343367 7.349228399999999)
320,University Of Eswatini,"G8C4+9P8, Kwaluseni, Eswatini",Eswatini,http://www.uniswa.sz/,Full Member,"(-26.4790864, 31.3068429, 0.0)",-26.4790864,31.3068429,0,POINT (31.3068429 -26.4790864)
321,University Of Fort Hare,"University of Fort Hare Alice Campus, Ring Road, Alice, 5700, South Africa",South Africa,http://www.ufh.ac.za,Full Member,"(-32.7858616, 26.84589, 0.0)",-32.7858616,26.84589,0,POINT (26.84589 -32.7858616)
322,University Of Garyounis,"3332+MV4, Benghazi, Libya",Libya,http://www.garyounis.edu,Full Member,"(32.0541343, 20.0521888, 0.0)",32.0541343,20.0521888,0,POINT (20.0521888 32.0541343)
323,University Of Gezira,"9GPH+8Q7, Wad Madani, Sudan",Sudan,http://uofg.edu.sd/,Full Member,"(14.3857952, 33.5294074, 0.0)",14.3857952,33.5294074,0,POINT (33.5294074 14.3857952)
324,University Of Ghana,"Legon Boundary, Accra, Ghana",Ghana,http://www.ug.edu.gh,Full Member,"(5.650562, -0.1962244, 0.0)",5.650562,-0.1962244,0,POINT (-0.1962244 5.650562)
325,University Of Global Health Equity,"Kigali, Rwanda",Rwanda,ughe.org,Full Member,"(-1.9529985, 30.0929223, 0.0)",-1.9529985,30.0929223,0,POINT (30.0929223 -1.9529985)
326,University Of Hargeisa,"PEPSI Road, G2WW+HWV, Hargeysa, Somalia",Somalia,http://huniversity.net/,Full Member,"(9.5464769, 44.0473085, 0.0)",9.5464769,44.0473085,0,POINT (44.0473085 9.5464769)
327,University Of Health And Allied Sciences,"Hohoe, Ghana",Ghana,https://www.uhas.edu.gh,Full Member,"(7.158873799999999, 0.4725953, 0.0)",7.1588738,0.4725953,0,POINT (0.4725953 7.158873799999999)
328,University Of Ibadan,"Oduduwa Road, 200132, Ibadan, Oyo, Nigeria",Nigeria,http://www.ui.edu.ng,Full Member,"(7.443309999999999, 3.900317, 0.0)",7.44331,3.900317,0,POINT (3.900317 7.443309999999999)
329,University Of Ilorin,"P.M.B, 1515, 240102, Ilorin, Kwara, Nigeria",Nigeria,http://www.unilorin.edu.ng/index.php/en/,Full Member,"(8.4858957, 4.674583, 0.0)",8.4858957,4.674583,0,POINT (4.674583 8.4858957)
330,University Of Johannesburg,"Johannesburg, South Africa",South Africa,http://www.uj.ac.za,Full Member,"(-26.2041028, 28.0473051, 0.0)",-26.2041028,28.0473051,0,POINT (28.0473051 -26.2041028)
331,University Of Jos,"Bauchi Rd, 930105, Jos, Plateau, Nigeria",Nigeria,http://www.unijos.edu.ng,Full Member,"(9.9486647, 8.891098099999999, 0.0)",9.9486647,8.8910981,0,POINT (8.891098099999999 9.9486647)
332,University Of Juba,"University Road, Juba, South Sudan",South Sudan,http://juba.edu.sd,Full Member,"(4.8409282, 31.59049989999999, 0.0)",4.8409282,31.5904999,0,POINT (31.59049989999999 4.8409282)
333,University Of Khartoum,"JG5R+WXF, Khartoum, Sudan",Sudan,http://www.uofk.edu/,Full Member,"(15.6098211, 32.5424286, 0.0)",15.6098211,32.5424286,0,POINT (32.5424286 15.6098211)
334,University Of Kordofan,"Unnamed Road, الأبيض‎،، 56F6+X8M, Al Ubayyid, Sudan",Sudan,http://www.kordofan.edu.sd/,Full Member,"(13.1749677, 30.2107924, 0.0)",13.1749677,30.2107924,0,POINT (30.2107924 13.1749677)
335,University Of Kwazulu-natal,"238 Mazisi Kunene Rd, Glenwood, Durban, 4041, South Africa",South Africa,http://www.ukzn.ac.za,Full Member,"(-29.8674219, 30.9807272, 0.0)",-29.8674219,30.9807272,0,POINT (30.9807272 -29.8674219)
336,University Of Lagos,"University of Lagos, University Road Lagos Mainland Akoka, Yaba 101245, Lagos, Nigeria",Nigeria,http://www.unilag.edu/,Full Member,"(6.515759, 3.3898447, 0.0)",6.515759,3.3898447,0,POINT (3.3898447 6.515759)
337,University Of Liberia,"76X3+MX3, Monrovia, Liberia",Liberia,https://ul.edu.lr,Full Member,"(6.299137399999999, -10.7950732, 0.0)",6.2991374,-10.7950732,0,POINT (-10.7950732 6.299137399999999)
338,University Of Lusaka,"Plot No 37413 Off Alick Nkata Road Mass Media Lusaka ZM, Lusaka 10101, Zambia",Zambia,https://www.unilus.ac.zm,Full Member,"(-15.4133086, 28.3214973, 0.0)",-15.4133086,28.3214973,0,POINT (28.3214973 -15.4133086)
339,University Of Maiduguri,"University of Maiduguri, 1069 Bama - Maiduguri Rd, 600104, Maiduguri, Borno, Nigeria",Nigeria,http://www.unimaid.edu.ng/,Full Member,"(11.8024227, 13.1930878, 0.0)",11.8024227,13.1930878,0,POINT (13.1930878 11.8024227)
340,University Of Malawi,"Zomba, Malawi",Malawi,http://www.unima.mw/,Full Member,"(-15.3892358, 35.3372455, 0.0)",-15.3892358,35.3372455,0,POINT (35.3372455 -15.3892358)
341,University Of Mauritius,"Reduit MU, Moka 80837, Mauritius",Mauritius,http://www.uom.ac.mu,Full Member,"(-20.2349416, 57.4962994, 0.0)",-20.2349416,57.4962994,0,POINT (57.4962994 -20.2349416)
342,"University Of Mines And Technology, Tarkwa","72X2+P2Q, Tarkwa - Esiama Rd, Tarkwa, Ghana",Ghana,http://umat.edu.gh/,Full Member,"(5.2984262, -2.0012774, 0.0)",5.2984262,-2.0012774,0,POINT (-2.0012774 5.2984262)
343,University Of Nairobi,"Nairobi, Kenya",Kenya,http://www.uonbi.ac.ke/,Full Member,"(-1.2920659, 36.8219462, 0.0)",-1.2920659,36.8219462,0,POINT (36.8219462 -1.2920659)
344,University Of Namibia,"93Q5+48Q, Windhoek, Namibia",Namibia,http://www.unam.edu.na/,Full Member,"(-22.6121691, 17.0583726, 0.0)",-22.6121691,17.0583726,0,POINT (17.0583726 -22.6121691)
345,"University Of Nigeria, Nsukka","Obukpa Rd, 410105, Nsukka, Enugu, Nigeria",Nigeria,http://www.unn.edu.ng,Full Member,"(6.866601999999999, 7.411526299999998, 0.0)",6.866602,7.4115263,0,POINT (7.411526299999998 6.866601999999999)
346,University Of Nyala,"3V5V+73P, A43, Nyala, Sudan",Sudan,https://nyalau.edu.sd/,Full Member,"(12.0582244, 24.8927185, 0.0)",12.0582244,24.8927185,0,POINT (24.8927185 12.0582244)
347,University Of Port Harcourt,"Abuja campus, university of, local government, 500272, Port Harcourt, Rivers, Nigeria",Nigeria,http://www.uniport.edu.ng,Full Member,"(4.9069911, 6.916194399999999, 0.0)",4.9069911,6.9161944,0,POINT (6.916194399999999 4.9069911)
348,University Of Pretoria,"Lynnwood Rd, Hatfield, Pretoria, 0002, South Africa",South Africa,http://www.up.ac.za,Full Member,"(-25.7545492, 28.2314476, 0.0)",-25.7545492,28.2314476,0,POINT (28.2314476 -25.7545492)
349,University Of Professional Studies (ups),"New Rd, Madina, Ghana",Ghana,https://upsa.edu.gh,Full Member,"(5.660528999999999, -0.1658758, 0.0)",5.660529,-0.1658758,0,POINT (-0.1658758 5.660528999999999)
350,University Of Rwanda,"RN1 university of Rwanda Huye campus, Butare, Rwanda",Rwanda,http://www.nur.ac.rw,Full Member,"(-2.6154291, 29.7428526, 0.0)",-2.6154291,29.7428526,0,POINT (29.7428526 -2.6154291)
351,University Of Sadat City,"محور الخدمات المركزي، 9F9W+VWQ, El Sadat City Desert, Menofia Governorate 32897, Egypt",Egypt,https://www.usc.edu.eg,Full Member,"(30.3697208, 30.4973589, 0.0)",30.3697208,30.4973589,0,POINT (30.4973589 30.3697208)
352,University Of Science And Technology,,Sudan,http://www.sustech.edu/,Full Member,"(15.6714696,32.2632312,0.0)",15.6714696,32.2632312,0,POINT (32.2632312 15.6714696)
353,University Of Sierra Leone,"Barham Road, Southern Central, 00232, Freetown, Sierra Leone",Sierra Leone,http://usl.edu.sl/,Full Member,"(8.4770089, -13.2214709, 0.0)",8.4770089,-13.2214709,0,POINT (-13.2214709 8.4770089)
354,University Of Somalia,"KM4, Mogadishu, Somalia",Somalia,http://www.uniso.edu.so/,Full Member,"(2.0343372, 45.3083677, 0.0)",2.0343372,45.3083677,0,POINT (45.3083677 2.0343372)
355,University Of South Africa,"Preller St, Muckleneuk, Pretoria, 0002, South Africa",South Africa,http://www.unisa.ac.za,Full Member,"(-25.7676604, 28.1992624, 0.0)",-25.7676604,28.1992624,0,POINT (28.1992624 -25.7676604)
356,University Of Stellenbosch,"Stellenbosch Central, Stellenbosch, South Africa",South Africa,http://www.sun.ac.za,Full Member,"(-33.9328078, 18.864447, 0.0)",-33.9328078,18.864447,0,POINT (18.864447 -33.9328078)
357,"University Of Technology, Mauritius","Ave De La Concorde, Port Louis, Mauritius",Mauritius,http://www.utm.ac.mu/,Full Member,"(-20.1767687, 57.46666690000001, 0.0)",-20.1767687,57.4666669,0,POINT (57.46666690000001 -20.1767687)
358,University Of The Free State,"205 Nelson Mandela Dr, Park West, Bloemfontein, 9301, South Africa",South Africa,http://www.ufs.ac.za,Full Member,"(-29.1075973, 26.1924506, 0.0)",-29.1075973,26.1924506,0,POINT (26.1924506 -29.1075973)
359,University Of The Gambia,"F86F+484, Serrekunda, The Gambia",The Gambia,https://www.utg.edu.gm,Full Member,"(13.4602512, -16.6766847, 0.0)",13.4602512,-16.6766847,0,POINT (-16.6766847 13.4602512)
360,University Of The Holy Qur'an And Re-origination Of Sciences,,Sudan,http://www.quran-unv.edu.sd/,Full Member,"(15.6206313,32.4884102,0.0)",15.6206313,32.4884102,0,POINT (32.4884102 15.6206313)
361,University Of The Western Cape,"Robert Sobukwe Rd, Bellville, Cape Town, 7535, South Africa",South Africa,https://www.uwc.ac.za,Full Member,"(-33.9335203, 18.627958, 0.0)",-33.9335203,18.627958,0,POINT (18.627958 -33.9335203)
362,University Of Uyo,"Univ of Uyo, 520103, Uyo, Akwa Ibom, Nigeria",Nigeria,http://www.uniuyo.edu.ng,Full Member,"(5.028093399999999, 7.9787992, 0.0)",5.0280934,7.9787992,0,POINT (7.9787992 5.028093399999999)
363,University Of Venda For Science & Technology,"University Rd, Thohoyandou, 0950, South Africa",South Africa,http://www.univen.ac.za,Full Member,"(-22.9761353, 30.44647969999999, 0.0)",-22.9761353,30.4464797,0,POINT (30.44647969999999 -22.9761353)
